title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
".hack//G.U. Last Recode [Begins Edition]","","NTSC","United States of America","Bandai Namco Entertainment","CyberConnect2 Co., Ltd.","2022-03-11","1","No","Action | Role-Playing","T - Teen","Log back into the .hack//G.U. saga, an exciting action RPG that is now on the Nintendo Switch™! This collection includes all 4 .hack//G.U. titles (Rebirth, Reminisce, Redemption, and Reconnection) in one single integrated experience.

Immerse yourself in “The World,” a VRMMORPG fi lled with monsters, magic, and chaos. Follow Haseo as he hunts down a legendary Player Killer (PK) named “Tri-Edge” who PKed his friend Shino and sent her into a coma in real life.

Journey to the mysterious online world of .hack and experience an RPG like never before!"
".hack//G.U. Recode","","NTSC","United States of America","Bandai Namco Entertainment","CyberConnect2 Co., Ltd.","2022-03-11","1","No","Role-Playing","T - Teen","Hack//G.U Last Recode is a Nintendo Switch Remaster of . Hack//G.U, a single-player action role-playing game series from the PlayStation 2, developed by CyberConnect2 and published by Bandai Namco Games. The remaster compiles elements from all three . hack//G.U."
".T.E.S.T: Expected Behaviour","","NTSC","","","","2018-05-03","1","No","Puzzle","E - Everyone","You can even control time. But will it help?

You became a lab rat in the hands of alien scientists. Will you be able to get out of the space laboratory? Pass dozens of levels with hundreds of puzzles using not only agility and logic, but also a special device that allows you to slow down, speed up and even stop time.

Your fate depends on the results of this .T.E.S.T."
"'n Verlore Verstand","","Region Not Set","","Skobbejak Games","Skobbejak Games","2018-12-07","1","No","Adventure | Puzzle | Platform","E - Everyone","Be prepared for an Abstract Indie Adventure through the inner psyche.

In 'n Verlore Verstand you will be transported to a reality of dreams and nightmares. What will you discover about yourself in this journey through the subconscious?

In these realms of the unknown, you must travel through labyrinths of memories to eventually find your way to your own truth.

Features:

- Abstract adventure.
- Engaging dream-like environments.
- Mysterious puzzles.
- Platforming
- Exploration"
"/Connection Haunted","","NTSC","","","","2020-09-03","1","No","Action | Shooter | Horror","E10+ - Everyone 10+","#Joining_server... #Players_Online: 1 #RED_flag_taken #New_player: {incorrect_string} #Players_online: 2 #PLAYER2_says: Connection_Lost...


# Cl422IC Fp5 g4M3pl4y
# wiD3 53l3cTI0n 0F L3V3L5
# dI3v3R5 r4NG3 0f g4m3 m0D35
# INT3R35Tin' L3V3L D35In
# R3tr0 p5X Gr4PHIC5
# f4mIly fRi3nDLY
# h3LpFul 4nd 4ctiv3 C0mmUnITY
# 5t48L3 53RV3R5

connectionhauntedisthepinnacleofold stylefirstpersonshooters
enjoy
or
di

_ _
| | | |
| |_| |
| _ |
|_| |_|

_____
| ____|
| _|
| |___
|_____|

_
| |
| |
| |___
|_____|

____
| _ \
| |_) |
| __/
|_|"
"""METAL SLUG 1st & 2nd MISSION"" Double Pack","","NTSC","","SNK Playmore","SNK Playmore","2021-09-15","1","No","Action | Shooter","T - Teen","From the hit action series METAL SLUG comes two popular titles on the NGPC for you to enjoy!
Jump into battle and complete all the missions!
METAL SLUG 1ST MISSION released in 1999 for the NEOGEO POCKET COLOR, with its sequel METAL SLUG 2ND MISSION hitting shelves in 2000. Now both are available for the Nintendo Switch™!"
"#1 Anagrams","","Other","","","","2021-05-14","1","No","Puzzle | Board | Education | Virtual Console","E - Everyone","More Crossword Anagrams than you can Shake a Stick at!
Do you enjoy crosswords or word games? Uncover hidden words: connect the letters, interpret the clues, improve your vocabulary, try your memory, challenge yourself and test your English skills.

Why waste time finding and downloading thousands of crosswords when #1 Anagrams generates randomly infinite crosswords for you? On top of that you can enjoy the story mode with 200 crosswords sorted by difficulty level, and solve the Daily Anagram (you get a new one every day) which is the same for everyone in the world. 

Are you up to the challenge? #1 Anagrams is a game made by fans for crosswords and word games that will not let you down!"
"#1 Crosswords","","Region Not Set","","","Eclipse Games","2021-02-12","1","No","Puzzle | Board | Education","E - Everyone","World's Best Crosswords Game!

Are you a fan of crosswords? Do you enjoy spending time-solving challenging word puzzles? #1 Crosswords is the game for you!

In #1 Crosswords you'll find a story mode with 100 crossword puzzles to solve for all difficulty levels. On top of that, you can always play the daily crossword, which is the same for everyone in the world, and as many random crosswords as you want.

A game made from crossword fans for crossword fans!"
"#BLUD","","NTSC-U","United States of America","Humble Games","","2024-06-18","1","No","Action | Adventure | Role-Playing","T - Teen","Slaying the undead is just another day at high school for Becky Brewster, new kid in town and latest in an ancient bloodline of spellcasting vampire hunters. Root out demonic infestations through the town’s buzzing social media, and take selfies with demonic forces to analyze their weaknesses. Power up your trusty fiend-thwacking field hockey stick, and level up your latent magic skills through grimoires and school supplies. Master the slaying game with the help of an eclectic cast of hilarious characters, and teach the vampires a thing or two about messing with Carpentersville High!"
"#Breakforcist Battle","","Region Not Set","","","","2018-04-12","4","Yes","Puzzle | Party","E - Everyone","Only you (and 3 of your friends) can save breakfast from evil!
Are you hungry!? Introducing an all new version of the cult favorite breakfast/exorcism-themed waffle-busting game, #Breakforcist Battle! Use your magic paddle & ball to rescue breakfast with classic brick-breaking gameplay. Work together with a friend in cooperative play or challenge your friends in an all new competitive battle mode!

A collaboration between Lucid Sheep Games & visual artist Pete Ellison.

FEATURES:

● An endless twist on classic brick-breaking gameplay, complete with crazy powerups!
● Experience competitive brick-breaking in Battle Mode with up to 4 players! Clear waves quickly to win rounds while launching all-new attack powerups at your foes!
● The original arcade-style game in solo play - try to survive endless waves of waffles and get a high score!
● Work together in 2-player cooperative mode! You share one playfield but can only move on your half - you’ll need teamwork to get a high score!
● Bacon lasers!
● An all original EDM soundtrack featuring songs like “WAFFLE♡LOVE” and “Brunch My Body”
● You want characters? There's 8 of them!
● Giant pancakes, that may or may not be flammable.
● One-handed gameplay; get a high score while eating your breakfast!
● Experience 0-button gameplay with the tilt control option.
● Seriously, the soundtrack is really, really good."
"#DRIVE","","NTSC-U","United States of America","","","2019-03-20","1","No","Racing","E - Everyone","#DRIVE is an endless driving video game inspired by road and action movies from the 70s and 80s. As simple as possible, allowing the player to pick a car, pick the place and just hit the road. Just be aware not to hit anything else.

No matter where we drive, no matter what we drive or how fast we drive. We simply chose to drive. And you?"
"#DRIVE [Steelbook Edition]","","NTSC-U","United States of America","PM Studios","","2021-10-26","1","No","Racing","E - Everyone","** this physical steelbook edition comes with a steelbook, a box and a car air refreshener. Limited to 2000 copies worldwide **

#DRIVE is an endless driving video game inspired by road and action movies from the 70s and 80s. As simple as possible, allowing the player to pick a car, pick the place and just hit the road. Just be aware not to hit anything else.

No matter where we drive, no matter what we drive or how fast we drive. We simply chose to drive. And you?

WHAT'S BEST ABOUT #DRIVE?
- Gorgeous stylized graphics
- Super fun photo mode to share your journeys
- 8 beautiful locations to see and explore
- 90+ unique cars to drive
- Each car with a special coolness addon
- Fun and addictive driving mechanics"
"#DRIVE Rally","","NTSC-U","United States of America","PM Studios","","2026-06-18","1","No","Racing | Sports","E - Everyone","Put your foot down and redefine speed in #DRIVE Rally!

#DRIVE Rally is an arcade-inspired rally racing game set in the golden racing era of the 1990s. Grab your co-driver and burn rubber in iconic, race-winning cars across varied rally stages and terrains in some of the most recognizable rallying locations in the world—perfect for fans of retro racing games and newcomers alike.

From the sunny landscapes of Dry Crumbs, through the whispering woods of Holzberg, to the chilly wilderness of Revontuli; take a journey through a diverse world you haven’t experienced in racing games before. Each destination delivers distinctive stage design and visual flair that celebrate classic ’90s rally vibes.

Jump behind the wheel of legendary rally cars, including Das Holzwagen, The Doggo, The Bobond, and many more. Build and customize your cars from the ground up to match your driving style and rally your way. Personalize the body, paintwork, and decals, then add that cherry on top with custom decorations - create a ride that feels truly your own.

Don’t forget the co-driver! Your co-driver can be your biggest cheerleader and toughest judge. It’s a partnership that thrives on performance and emotion. Their goal is to assist your runs with helpful navigation and tips to improve your stage times - making every run feel dynamic and replayable."
"#killallzombies","","NTSC","United States of America","Beatshapers","Beatshapers","2019-01-24","2","Yes","Action","T - Teen","In the distant future, #killallzombies is thrusting civilians into a sport of survival were a ravenous zombie population is unleashed in the name of sports entertainment.

Features:
• Hordes of zombies to fight on interactive changing arena
• Three modes to play: Survival, Coop and Defend the Vault
• Multiple weapons and ammo types
• XP and leveling up system
• Powerful perks"
