title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"California Games","","Region Not Set","","Atari, Inc.","Epyx","1989-07-07","4","No","Sports","","Hey Dude, get ready for the ultimate in rad video! Sega's California Games takes you to the sunny beaches and deserts of the California coast for some gnarly sports competition. Kick it down on a skateboard. Ride the waves to surfing heaven. Cruise the concrete on skates or the rough track on a BMX. Test your toes with a footbag or your long concentration with a flying disk. In a word: awesome.

But there's more. You can play with up to 8 of your friends. Practice events. Compete in one, some or all to become the total California Champion! And you can play for some of the hottest teams around around representing the heaviest names on the circuit. So what are you waiting for? Grab your board and get ready to achieve a new state of Atari cool."
"Centipede","","Region Not Set","","","Shadowsoft","1995-08-03","","No","Shooter","","Hundreds and thousands of them. Creepy ones. Crawly ones. Buzzing ones. Swarming ones. And they're all trying to get you. Before you get them."
"Championship Rally","","Region Not Set","","","","2000-12-15","1","No","Racing | Sports","Not Rated","No overview is currently available for this title, please feel free to add one."
"Checkered Flag","","Region Not Set","","Atari, Inc.","Atari","1991-02-11","4","No","Racing | Sports","","Checkered Flag puts you in the driver's seat of a Formula 1 race car! Choose from 18 high-speed tracks, three different transmissions, and single-heat or tournament racing. For really tough wheeling, challenge up to five of your friends and get into big-time competition!"
"Chip's Challenge","","NTSC-U","","Atari, Inc.","Epyx","1989-03-04","1","No","Puzzle","E - Everyone","Before Chip can join the Bit Busters computer club and hang out with the girl of his dreams, Melinda the Mental Marvel, he must solve all 144 challenging puzzles.
Your bird's-eye view can help Chip rush through the puzzles and mazes before he's deleted by monsters, traps, and the passage of time. Show Chip how to use blocks of soil to overcome water traps and cherry bombs, find keys, and pick up the computer chips which Chip needs to solve some puzzles.
Can you help Chip win the cold heart of his one true love and become an official Bit Buster? If you can't, no one can!"
"Conquest of Zow","","Region Not Set","","Harry Dodgson","Harry Dodgson","1996-01-01","","No","Shooter","","A shoot-em-up game from homebrew developer Harry Dodgson."
"Crystal Mines II","","Region Not Set","","","Atari","1992-08-06","","No","Action","","Great treasure still lies deep in the abandoned Crystal Mines. But over the years, underground demons have made them deadly. Guide your robot through the mines, destroying demons and gathering great wealth. Or fail, and become history."
"Crystal Mines II : Buried Treasure","","Region Not Set","","Songbird Productions","Color Dreams","2003-01-01","1","No","Puzzle","Not Rated","No overview is currently available for this title, please feel free to add one."
"Cyber Virus","","Region Not Set","","Songbird Productions","","1970-01-01","1","No","Adventure | Shooter","Not Rated","No overview is currently available for this title, please feel free to add one."
"Daemonsgate","Daemon's Gate | Demon's Gate","Region Not Set","","Atari, Inc.","Imagitec Design Inc","1991-10-01","1","No","Role-Playing","","Daemonsgate is a Role-Playing game, published by Electronic Innovative Design, which was cancelled before it was released."
"Desert Strike: Return to the Gulf","Desert Strike","Region Not Set","","","Telegames, Inc.","1993-08-05","","No","Shooter","","You must annihilate a ruthless tyrant's military arsenal. Tear into his air force and smoke his private yacht as you battle over land, air and sea in over 20 fiery missions using all the force you can to establish superiority. The President has chosen you to fly a series of dangerous preemptive campaigns in the desert to vanguish this tyrant."
"Dinolympics","","Region Not Set","","","Atari","1992-08-05","","No","Adventure","","Come back to the dawn of history in this combination of puzzling problems, awesome adventures, and mind-bending mazes. The survival of your race is at stake!"
"Dirty Larry: Renegade Cop","","Region Not Set","","Atari, Inc.","Knight Technologies","1992-06-19","1","No","Action","M - Mature 17+","He's the baddest of the good guys. He's Dirty Larry - Renegade Cop. Mr. Big's Gang is determined to end his career for good--if his own Captain doesn't do it first! So take to the streets in a hurry. It's time for a little house cleaning!"
"Double Dragon","","Region Not Set","","","Telegames, Inc.","1993-08-05","","No","Fighting","","Twin brothers use expert knowledge of martial arts, various weapons and street smarts to rescue their friend Marian from the Black Warriors, the savage street gang of the mysterious Shadow Boss! Non stop action in one of the world's classic games now in your hands."
