id,title,alternate_titles,platform,publisher,developer,genre,release_date,region,players,rating,description,scraped_at,error
"109954","Snow Bros.","","Nintendo Entertainment System (NES)","","","","1990-04-01","NTSC-J","2","","","2025-11-04T02:27:43.575Z",""
"29289","'89 Dennou Kyuusei Uranai","","Nintendo Entertainment System (NES)","","","","1988-12-10","NTSC-J","1","","","2025-11-04T02:27:46.574Z",""
"113531","[Welcome To] Eville","","Nintendo Entertainment System (NES)","","","","2013-03-01","NTSC-U","1","","","2025-11-04T02:27:48.885Z",""
"80408","0-to-X","","Nintendo Entertainment System (NES)","","","","2016-01-01","Other","1","","","2025-11-04T02:27:51.116Z",""
"317","10-Yard Fight","","Nintendo Entertainment System (NES)","","","","1985-10-18","NTSC","2","","","2025-11-04T02:27:53.709Z",""
