title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"FINAL FANTASY III","","Region Not Set","","Square Enix","Square Enix","2013-03-29","1","No","Role-Playing","","Final Fantasy III -- now on OUYA! First released in 1990, Final Fantasy III was the first title in the Final Fantasy series to become a million-seller, establishing once and for all that Square Enix's classic RPG saga was here to stay. The full 3D remake released in 2006 duplicated the original's success, selling over a million copies worldwide. Final Fantasy III was a hallmark of innovation for the entire series, from the job system that lets characters change classes at any time to the ability to summon powerful creatures such as Shiva and Bahamut. When darkness falls and the land is robbed of light, four youths are chosen by the crystals to set forth on a journey to save the world."
"Gamius Type IV","","Region Not Set","","Michael A. Hawker","Michael A. Hawker","2013-03-27","4","Yes","Shooter","","Ready for a One-Button Shmup? Take control of your craft and battle your friends for points in a retro-styled arcade shmup. Play co-op or asymmetric modes and even play four players on two controllers!

Experience the full game for free during the OUYA launch period!"
"Gridiron Thunder","","Region Not Set","","MogoTXT","MogoTXT","2013-11-30","1","No","Sports","","This Hard Hitting Retro Football Game Will Keep You Coming Back For More As You Compete Against Your Friends And Other Opponents To See Who Really Is King Of The Gridiron!

Now With Realtime News, Awesome Cheats, And Other Refinments!"
"Ittle Dew","","Region Not Set","","","Ludosity Interactive","2013-09-01","","No","Action | Role-Playing","","Heroine Ittle Dew and sidekick Tippsie crashes into their next adventure - an island filled with dumbwitted creatures, treasures and a cunning merchant. 

Puzzle solving, action and speed-running in a retro-ish adventure and beautiful hand-drawn HD graphics."
"Killing Floor: Calamity","","Region Not Set","","Tripwire Interactive, LLC","Tripwire Interactive","2013-12-18","2","Yes","Shooter","","Killing Floor: Calamity takes place in the devastated cities and countryside of England, after a series of cloning experiments for the military goes horribly wrong. You know how this works - your mission is to survive waves of Zeds and take out the Patriarch! Believe me - the action is furious and relentless!

2-player co-op couch gaming, multiple difficulty levels, 7 Perks upgradeable to Level 20 (with new special abilities, too) and 9 brand new maps for the OUYA."
"King of Booze - Drinking Game","","Region Not Set","","","Daygames","2015-02-02","","No","","","No overview is currently available for this title, please feel free to add one."
"Kung Fu House","","Region Not Set","","","","2014-05-29","1","Yes","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"Meltdown","","Region Not Set","","Phenomenon Games","Phenomenon Games","2013-11-27","1","Yes","Shooter","","Meltdown is a tactical arcade shooter featuring both singleplayer and intense online multiplayer.

Become the most skilled soldier, choose your weapons, get the best upgrades, buckle up and start your mission.
Be careful, each enemy has it’s own combat style, special AI and gear. Adapt to them to survive!"
"Moonlight Walks","","Region Not Set","","American Bishoujo","renpytom","2013-07-09","1","No","Role-Playing","Not Rated","This game is an English-language visual novel, digital storytelling involving images and text.

It takes place the summer before you go away to college, and you're spending it visiting with your aunt and uncle on a small island in the Atlantic ocean. One night, while out taking pictures of the full moon, you meet a girl walking down the beach."
"Neon Shadow","","Region Not Set","","Tasty Poison Games","TastyPoisonGames","2013-11-05","4","Yes","Shooter","","Neon Shadow is a fast paced Cyber Punk FPS inspired by classic shooters. Suit up and grab your shotgun. Your mission: Save humanity from the dark mechanoids who have taken control of your space station and soon the rest of the galaxy!

Demo includes: single player campaign (3 levels), online and split screen deathmatch (1 map)

Features:
• Old school first person shooter game-play
• Single player campaign
• 2 Player co-op campaign
• Online and LAN multiplayer deathmatch mode
• Up to 4 player split screen for local multiplayer deathmatch
• Cyberpunk soundtrack from Abducted by Sharks. (http://abductedbysharks.com/)
• Support for multiple control layouts: south paw and legacy
• PS3 and Xbox 360 controllers supported

Follow @tasty_poison on Twitter for news and updates!"
"Nimble Quest","","Region Not Set","","Nimblebit","Nimblebit","2013-07-01","1","No","Action","","From the creators of Tiny Tower, Sky Burger and Pocket Planes comes Nimble Quest! Lead a conga line of heroes to glory against hordes of enemies across an endless number of stages. How many enemies can you defeat? Steer your unstoppable (seriously, you can’t stop) party as they cut a path of destruction through levels filled with different enemies and power-ups. Unlock and level up heroes to increase the size of your party and make them more powerful. Can your party make it from the tranquility of the Forest to the fire and brimstone of the Depths?

Tired of competing alone? Join a guild and compete with other players in special time-limited Guild Quests. Is your guild skilled enough to top the global leaderboards?"
"No Brakes Valet","","Region Not Set","","Captain Games","Captain Games","2013-04-05","4","No","Strategy","","No Brakes Valet!

Features:
* parking lots
* fast cars
* definitely a steering wheel

1 player
2 players
3 players
4 players!"
"Oh My Goat","","Region Not Set","","CremaGames","CremaGames SL","2013-12-03","1","No","Platform","","Oh My Goat is a platform game packed with action and millimetric jumps in which reflexes are the key. You will travel through different worlds and benefit from the skills of the animals you save to dodge and jump hundreds of obstacles that await you along the path."
"Order & Chaos Online","","Region Not Set","","Gameloft S.A.","Gameloft S.A.","2013-08-01","1","No","Role-Playing | MMO","","Are you ready for a true real-time, full-3D MMORPG ? Join thousands of players, enter the massive experience.

● 5 races available: Elves and Humans fight for Order, Orcs and Undead for Chaos, while Mendels are neutral.
● Choose your gender, appearance, class and talents. Thousands of skills and equipment to discover.
● A wide range of interactions: Make friends or enemies, trade, duel, communicate and more. Fight other experienced players in our open-PvP arenas
● Join a party or guild to become stronger and coordinate with your teammates.
● Over 1200 quests to perform. Hundreds of characters to talk and interact with.

** An Internet connection and a Gameloft LIVE! account (one-step in-game registration) are required to play the game. **"
"Organ Trail: Director's Cut by The Men Who Wear Many Hats","Organ Trail: Director's Cut","Region Not Set","","","The Men Who Wear Many Hats","2013-06-03","","No","","T - Teen","No overview is currently available for this title, please feel free to add one."
"Pingo Puzzle Poker","","Region Not Set","","1-Pup Games","1-Pup Games","2013-03-28","1","No","Puzzle","","A simple, but addicting puzzle game. How high can you score, in this new original indie puzzler? If you've ever played a game of cards, you'll love Pingo!"
"Polarity","","Region Not Set","","Bluebutton Games","Bluebutton Games","2013-03-29","1","No","Puzzle","","Welcome to Polarity, a first person puzzling adventure allowing you to experience the thrill of hacking into a super secure virtual bank. You'll solve mind bending puzzles by running, jumping throwing and inverting your way into the heart of the system to steal data for your clients."
"Power Ups that Kill!","","Region Not Set","","Steven Hanus","Steven Hanus","2013-03-25","1","No","Shooter","","Steer left and right to avoid the walls alongside the path. Watch out because ""power ups"" are placed in your way that will affect the game and purposely try to distract you!"
"Quizania","","Region Not Set","","","Giant Bomb","2013-04-11","","No","","","No overview is currently available for this title, please feel free to add one."
"Ravensword: Shadowlands","","Region Not Set","","Crescent Moon Games","Crescent Moon Games","2013-06-25","1","No","Adventure | Role-Playing","","Ravensword brings unprecedented visuals to the role playing and adventure
genre. Explore a vast and richly detailed world, gather powerful weapons, collect hundreds of items, increase your skills, and follow a deep storyline to solve the mysteries of the Kingdom of Tyreas."
"RED","","Region Not Set","","Knife Media","Knife Media","2013-03-28","2","Yes","Shooter","","Update 1.2 - INFECTION! New level, new mode, new weapons and new enemies!

Feeling angry?

RED is the ultimate dual stick shooter - visceral, vibrant and filled to the brim with unlockables!

Take the role of Rick Steele as he battles an invasion of mutants in the city. Using a variety of powerups, abilities and weapons, he will need to fend off hordes of disgusting and furious creatures dead set on consuming everything and everyone in their sight.

Featuring:

- Smexy cartoon graphics
- Same couch multiplayer *NEW*
- Unique player abilities
- Special bonuses like the powerful Bio-Shield
- Competitive leaderboards
- Infection infinite survival mode

PLUS! - Buy the full version for even more future content!

1.11 - NEW IN GAME BESTIARY + BALANCE IMPROVEMENTS!"
"Regular Ordinary Boy","","Region Not Set","","Matt Dalgety","Matt Dalgety","2013-03-30","1","No","Action | Adventure","","Regular Ordinary Boy is a retro action-adventure sidescroller.

* Hit stuff with swords
* Kill monsters, collect gold and other loot
* Purchase new swords and armor at shops on your journey
* Defeat epic bosses
* Find hidden treasures

Can you defeat the evil wizard who burned your house down?

* 10 unique monsters, each with 5 levels of difficulty
* 4 bosses to defeat
* 7 unique levels to explore
* Action based side scrolling gameplay, kill all those monsters!

Retro Style

* Retro graphics
* Old school sound effects
* Retro sounding chiptune music

""Pretty goooood""

""Reminds me of my old school consoles!""

""I played it, and I liked it!"""
"Retro Racing","","Region Not Set","","","Mr Qwak","2013-07-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Riding Rhodri","","Region Not Set","","Steven Hanus","Steven Hanus","2013-03-27","1","No","Adventure | Platform","","Adventure through this exciting platformer as Rhodri. You can't jump, but springs, fans, and other mechanics will help you traverse these challenging levels."
"SHADOWGUN","","Region Not Set","","","MADFINGER Games, a.s.","2013-06-03","","No","","T - Teen","No overview is currently available for this title, please feel free to add one."
"Sky Maze 3D","","Region Not Set","","Karga Games","Karga Games","2013-03-28","1","No","Platform","","Dodge the traps, find your way and guide the ball to exit. A fun and challenging action game.

- Cool 3D effects, beautiful graphics and sound
- Scoreloop leaderboard
- 9 different tile types
- 12 free total 50 challenging levels"
"Soul Fjord","","Region Not Set","","Airtight Games","Airtight Games","2014-01-31","1","No","Action | Music","","Soul Fjord is a rhythm based action game made exclusively for your OUYA console by the team at Airtight Games that brought you Quantum Conundrum. Become the legendary champion of funk, Magnus Jones, as he sets out for revenge and fights his way to Valhalla, the hottest club in the afterlife."
