title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"64 Oozumou (Controller Pak Edition)","","NTSC-J","Japan","","","1998-02-20","4","No","Sports","Not Rated","No overview is currently available for this title, please feel free to add one."
"64 Ozumo 2","Rokujuuyon Oozumou Ni | 64 Professional Sumo Wrestling 2 | 64大相撲","NTSC-J","Japan","Bottom Up","Bottom Up","1999-03-19","2","No","Fighting","Not Rated","No overview is currently available for this title, please feel free to add one."
"64 Trump Collection - Alice's Exciting Trip to Trump World","64 Trump Collection: Alice no Waku Waku Trump World (JP)","NTSC-J","Japan","Bottom Up","Bottom Up","1998-08-07","4","No","Adventure | Puzzle","Not Rated","64 Trump Collection: Alice no Waku Waku Trump World is a card game based on Alice in Wonderland for the Nintendo 64. It was released in 1998 in Japan only."
"Aero Fighters Assault","Sonic Wings Assault","NTSC-U","","Video System Co., Ltd.","Paradigm Entertainment Inc.","1997-10-30","2","No","Action | Flight Simulator","E - Everyone","The AeroFighters Assault team needs your help to save the Earth from the evil Phutta Morgana and their machines of doom. Join the battle in the only game that matters!

• 360 degrees of total air assault action!
• Multiple missions around the globe pit you against a variety of enemy aircraft and boss characters.
• Player selectable viewpoints include traditional external and in-aircraft views, plus our unique ""combat view"" that provides you with a better perspective of the dogfight situation.
• Four different game modes including practice, main game, boss attack, and two-player death match.
• Game progress stored in memory."
"AeroGauge","","NTSC-J","Japan","","","1997-12-19","2","No","Racing","Not Rated","No overview is currently available for this title, please feel free to add one."
"AI Shogi 3","AI将棋3","NTSC-J","Japan","ASCII Corporation","I4","1998-12-18","4","No","Puzzle | Strategy","Not Rated","AI Shogi 3 is a Board game, developed by I4 and published by ASCII Entertainment, which was released in Japan in 2005."
"Aidyn Chronicles: The First Mage","","Region Not Set","","THQ","H2O Interactive","2001-03-14","1","No","Role-Playing","T - Teen","Young Alaron is on a quest to discover the truth about himself, his name, and his heritage. Traveling to far and distant lands, pursued by forces he cannot understand, danger lurks around every corner. Alaron and his companions will seek to fulfill his destiny as the greatest mage ever.

• Beautiful 3D environments and highly-detailed characters
• Party-based adventuring gameplay with thirteen different playable characters. up to four characters at one time.
• Unique blend of action and turn-based combine for a true RPG experience.
• Huge world map with the freedom to explore areas in any order.
• Daytime cycle affects the performance of lunar and solar-aspected characters."
"Aidyn Chronicles: The First Mage [Gray Variant]","","NTSC-U","United States of America","THQ","","2001-03-14","1","No","Role-Playing","T - Teen","Aidyn Chronicles: The First Mage [Gray Variant]"
"Airboarder 64","AirBoardin' USA | Air Boarder 64 | Airboarders 64","Region Not Set","","GMI | 																Human Entertainment, Inc.","Human Entertainment, Inc.","1998-03-27","2","No","Sports","E - Everyone","Air Boarder 64 is a futuristic racing game for the Nintendo 64. It is very similar to the Tony Hawks Pro Skater series, allthough the game features hover boards instead of the usual skateboards. Various game modes are available in which you either have to win the race challenges or get a high score by performing different tricks."
"Akumajou Dracula Mokushiroku","Akumajo Dracula Mokushi Hashumi | Castlevania","NTSC-J","Japan","Konami","Konami","1999-03-11","1","No","Action | Adventure","Not Rated","No overview is currently available for this title, please feel free to add one."
