title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Baku Baku","","NTSC-U","United States of America","Sega of America, Inc.","Minato Giken","1996-05-01","2","Yes","Puzzle","E - Everyone","You're the zookeeper in a crazy kingdom. But you'd better watch out - once you dive into the Baku Baku den, there's no turning back... To win, match each animal with its favorite food. Challenge computer characters or go head-to-head in 2-player mode. Beautiful 3D graphics and stunning colors bring puzzling to the next level. Variable game speed lets you go slow-mo or full throttle. Better be clever - surprises await true Baku masters..."
"Barbie Super Model","","Other","","Hi-Tech Expressions, Inc.","TahoeÂ SoftwareÂ Productions","1994-01-01","1","No","Action","Not Rated","Barbie Super Model is an Action game, developed by Bonsai Entertainment Corp. and published by Hi Tech Expressions, which was cancelled before it was released."
"Batman Forever","","Region Not Set","","Acclaim Entertainment, Inc.","Probe Entertainment","1995-01-01","","No","Action","","The Real Game Begins! BATMAN FOREVER! Brace yourself for endless action with BATMAN FOREVER! BATMAN and ROBIN blast into GOTHAM CITY in a duo-player fighting game! Armed with tons of incredible attacks, fierce combat moves, and an arsenal of gadgets, the DYNAMIC DUO are ready to battle the diabolical minds of TWO-FACE and THE RIDDLER! Without question... it's BATMAN FOREVER!"
"Batman Returns","","NTSC-U","United States of America","Sega of America, Inc.","MNM Software | 																Sega CS R&D 2","1992-09-01","1","No","Action | Platform","E - Everyone","Frigid winter winds swept over an already chilled Gotham City. Random street crimes were running at an all-time high, despite the holidays. Down below, in the city's frozen sewers, Oswald Cobblepot, known as The Penguin, planned more mayhem and schemed the take over of the frightened metropolis. His loyal army of missile-packing Penguin Commandos and the bizarre Red Triangle Circus Gang are energized by the evil genius of the web-footed orphan. A desperate call to Batman goes up. Partner with Batman to salvage Gotham City from The Penguin's cold-hearted plot. Guide him in swift, life-like moves from dark alleys to rooftops in vivid scenes based on the hit movie, ""Batman Returns."" Control his combat style, and help conduct relentless interrogations of The Penguins many allies. Use the Batcave computer to input clues, analyze evidence, and review enemy bios. You're in charge of weapons, too. Stock Batman's Utility belt with enough heat to match the diverse fighting styles of The Penguin and cold-blooded, sewer-dwelling minions. Gotham City is in trouble."
"Batter Up","Gear Stadium","Region Not Set","","Namco","Namco","1991-04-05","2","No","Sports","","Batter Up is a Sports game, developed and published by Namco, which was released in Japan in 1991."
"Battleship","","Region Not Set","","Mindscape, Inc.","NGM Productions","1993-01-01","1","No","Strategy","","Do you have what it takes to command your own fleet of six ships?  Can you survive thrilling, ruthless combat on the high seas?  Stalk your enemy through unfriendly waters. Secretly plot your plan of attack.  Then fire.  It's a hit!  But remain on red alert!  For your opponent wants victory as much as you do!  Capsize a carrier.  Demolish a destroyer.  Sink up to six ships in your opponent's fleet before your own vessels are found and sunk.  Blast the torpedoes and full speed ahead!"
"Battletoads","","NTSC-U","United States of America","Tradewest, Inc.","Arc System Works Co., Ltd.","1993-12-01","1","No","Action | Fighting | Platform","E - Everyone","When the evil Dark Queen kidnaps both your best buddy and the best-looking girl this side of the Mazallion Star Cluster
what are you gonna do about it? Are you gonna cry? Hide? Call the Starcops? No way! Because you're a BATTLETOAD and BATTLETOADS don't cry. hide. or call for help. BATTLETOADS get real MAD - and then they get EVEN!

So, strap on your Blaster, power-up the 'Toadster, and get on down to the Dark Queen's planet - but, watch out 'toad - this lady's bad. and she's got a whole mess of really nasty surprises lined up for you like the Psyko Pigs, the Mutant Flatpack. Robo-Manus and the Saturn ’Toadtrap, to name but a few. You're gonna need all your fighting skills to defeat her the Battletoad Butt. the Big Bad Boot and the Nuclear Knuckles. Hey. and don't forget to take along the Jet Turbo, the Space Board and the Speed Bike. Because you're gonna need 'em all. ‘toad. if you're gonna rescue your friends and get the frog outta ther with your green skin intact!"
"Beavis and Butt-head","","Region Not Set","","Viacom New Media","NuFX","1994-01-01","1","No","Adventure","","We were gonna go to this GWAR concert. Then Anderson's stupid dog, like, chewed up the tickets. Now you gotta help us find the pieces or somebody's gonna pay for it. Probably Beavis. Van Driessen tried to teach us, like, history. But we outsmarted him. Couch fishing rules. Unless there's something good on TV or something. Would you like flies to go with that mouseburger? Heh heh heh heh. At the Turbo Mall, you can meet wild creatures and stuff. Like us."
"Berlin no Kabe","The Berlin Wall","Region Not Set","","Kaneko Co., Ltd.","Inter State","1991-11-29","2","No","Action","","The Berlin Wall is an Action game, developed by Inter State and published by Kaneko, which was released in Japan in 1991."
"Bishoujo Senshi Sailor Moon S","","NTSC-J","Japan","Bandai Co., Ltd.","Shimada Kikaku","1995-01-27","1","No","Action | Fighting","E - Everyone","Sailor Moon and the senshi are up against a new set of villains: the Death Busters (Professor Tomoe, Kaorinite, the Witches 5, Mistress 9, Pharaoh 90). The Death Busters plan to rule the world by using the energy from the pure heart crystals of innocent victims, but Sailor Moon and the senshi must stop them."
"Bram Stoker's Dracula","","Region Not Set","","Sony Imagesoft","Probe Entertainment","1993-01-01","","No","Action","","Bram Stoker's Dracula is an Action game, developed by Probe Entertainment Limited and published by Sony Imagesoft, which was released in 1993."
"Bubble Bobble","","Region Not Set","","Sega","Taito Corporation","1994-01-01","2","No","Action","","THESE ARE TWO HUNGRY DINO-MIGHTS AND THEY'VE GOT BUBBLE FIGHT'N FUN DOWN TIGHT. You and your two brontosaurus buddies, Bub and Bob, are up to your brows in bubble troubles. You've got to battle battalions of bullies by blowing and bursting billions of bubbles. It's a fast-paced bubble banquet through dozens of screens of slap happy suds. Got an appetite for fun... then get blowin'."
