title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Air Management '96","Aerobiz 3 | エアーマネジメント'96 | Air Management 3 | Aerobiz 2000","Region Not Set","","Koei Co., Ltd.","KOEI Co., Ltd.","1996-03-26","4","No","Construction and Management Simulation | Strategy","E - Everyone","Air Management '96 is a sequel/remake to the other games in the Air Management series. Like previous titles, the game is an airline management simulation however graphics and interface have been updated to 3D. Players take control of an airline as it's CEO, and must first select the name, tail logo and home airport of their airline. The game is turn-based between each airline. Each airline has four ""board members"" who can be assigned to perform various tasks, which take varying length to accomplish. These tasks include buying aircraft, bidding for slots at an airport, buying facilities at an airport and marketing a PR campaign in a region. Once the player has purchased aircraft, they must further make planning of the route between two airports with available slots. Once a route is setup, the player is able to manage how many planes fly the route daily and the number of passengers they carry, as well as ticket price.

The game is played over one of two scenarios, each representing a different era. The game is over when any airline reaches the target money amount."
"Airs Adventure","エアーズアドベンチャー","Region Not Set","","Game Studio","Game Studio | 																General Support","1996-12-20","1","No","Role-Playing","E - Everyone","Henry Chaser Vincent, the hero who lost his parents at an early age and was taken over by his uncle. I ran away from home at the age of 10 and had an exciting adventure. Because of its beauty, the ladies may be captivated. After he left, the lady was a little lonely, and the husband was regretted that his wife was taken. At 16, he made a bet and won. However, it was suspected that he was turning his hand behind the scenes, and he was sentenced to beheaded. In the eyes of the public, he said: ""My neck is thin, don't spoil it."" And the ax is swung up, ""Please wait!"" The voice is from the king's daughter, Princess Korin. Henry saves her life at her expense. At the time of parting, Korin said, ""I feel like I can meet him again..."". In this way, Henry's new adventure began."
"Akumajou Dracula X","Castlevania: Symphony of the Night | Akumajou Dracula X: Gekka no Yasoukyoku","NTSC-J","Japan","Konami","Konami","1998-06-25","1","No","Action | Adventure | Role-Playing | Horror","Not Rated","Castlevania: Symphony of the Night begins during the ending of the previous game in the series, Castlevania: Rondo of Blood, where Richter Belmont confronts and defeats Count Dracula. Four years later, in 1796, Richter goes missing and Dracula's castle reappears. Alucard arrives at the castle to destroy it, meeting Maria Renard, who once fought alongside Richter and is searching for him. Alucard meets Richter, who claims to be the new lord of the castle. Convinced that Richter is under somebody else's control, Maria urges Alucard not to hurt him, Alucard confronts Richter and learns that he plans to resurrect Dracula so the two can fight for an eternity.

In this version, Maria Renard is both a fully playable character as well as a boss fight, and Richter is available to play at the start of the game. When playing the game as Alucard, a ""third hand"" is available, but only for usable items and not weaponry. Alucard can use exclusive items, such as the Godspeed Boots, which grant him the ability to run like Richter. New areas, the Cursed Prison and the Underground Garden, which include new bosses, can be visited. The port also contains remixes of songs from previous Castlevania games. However, loading is more frequent and takes longer in the Saturn version than in other versions. Because the Saturn has limited hardware transparency support, transparency effects such as the mists and the waterfall were replaced with dithering effects, though partial translucency does exist in a few areas such as with Saturn exclusive enemies and one of the final boss fights. Rather than taking advantage of the Saturn's increased resolution, the graphics were stretched to fill the screen, causing some sprites to be distorted. The overall quality of the Saturn port's video is said, according to Igarashi, to be lower than the PlayStation version because it is a simple port handled by another team and was not programmed to take advantage of the Saturn's 2D capabilities. Igarashi overall expressed disappointment with the Saturn version."
"Albert Odyssey Gaiden: Legend of Eldean","Albert Odyssey - Legend of Eldean | アルバートオデッセイ　外伝　～レジェンド　オブ　エルディーン～","Region Not Set","","SUNSOFT","Sunsoft","1996-08-09","1","No","Role-Playing","E - Everyone","The game follows the adventure of Pike, a young boy whose family was murdered by a horde of monsters while still an infant and is raised by a family of winged humanoids known as Harpies. Ten years later, his adoptive sister is turned to stone by an evil mage. Together with Cirrus, a talking sword housing the spirit of one of the legendary Eldean siblings, Pike travels the world to search for a cure and discovers a plot by a group of evil magicians to turn the world's races against each other and revive the ancient god Vlag. Together with the help of friends he meets along his journey, Pike must prevent evil's resurrection."
"Albert Odyssey Gaiden: Legend of Eldean (Saturn Collection)","アルバートオデッセイ　外伝　～レジェンド　オブ　エルディーン～　（サタコレ）","Region Not Set","","SUNSOFT","Sunsoft","1997-06-20","1","No","Role-Playing","E - Everyone","The game follows the adventure of Pike, a young boy whose family was murdered by a horde of monsters while still an infant, and is raised by a family of winged humanoids known as Harpies. Ten years later, his adoptive sister is turned to stone by an evil mage. Together with Cirrus, a talking sword housing the spirit of one of the legendary Eldean siblings, Pike travels the world to search for a cure, and discovers a plot by a group of evil magicians to turn the world's races against each other and revive the ancient god Vlag. Together with the help of friends he meets along his journey, Pike must prevent the evil's resurrection."
"Albert Odyssey: Legend of Eldean","Albert Odyssey Gaiden ~Legend of Eldean~ | アルバートオデッセイ　外伝　～レジェンド　オブ　エルディーン～","Region Not Set","","Working Designs","Sunsoft","1997-07-24","1","No","Role-Playing","E - Everyone","The game follows the adventure of Pike, a young boy whose family was murdered by a horde of monsters while still an infant, and is raised by a family of winged humanoids known as Harpies. Ten years later, his adoptive sister is turned to stone by an evil mage. Together with Cirrus, a talking sword housing the spirit of one of the legendary Eldean siblings, Pike travels the world to search for a cure, and discovers a plot by a group of evil magicians to turn the world's races against each other and revive the ancient god Vlag. Together with the help of friends he meets along his journey, Pike must prevent the evil's resurrection."
"Album Club: Mune Kyun Saint Paulia Jogakuin","アルバム倶楽部 胸キュン セントポーリア女学院","NTSC-J","Japan","Societa Daikanyama","Societa Daikanyama","1997-07-11","1","No","Adventure","M - Mature 17+","Album Club: Mune Kyun Saint Paulia Jogakuin is a compilation of mini games released for Sega Saturn in 1997, in the game you are a robot in a school and must shoot and take pictures of the girls in their respective school clubs in the visual novel style, you browse by the hub with the robot chatting with the girls and is challenged by the mini-games if they win, videos with the theme of the club will be unlocked in the process."
"Alien Trilogy","","NTSC-U","","Acclaim Entertainment, Inc.","Fox Interactive | 																Probe Entertainment","1996-08-13","1","No","Action | Shooter","M - Mature 17+","Every now and then a game spawned from film hits the mark, and Alien Trilogy captures the gruesome essence of one of Hollywood's best high-tension thriller/action offerings. Simply put, this is an excellent video game and to date it's perhaps the best Doom-clone to bloody the consoles.

From the colony of LV-426 to the Alien spaceship (which brought the plague to the infested prison colony), all of the 30-some levels pay tribute to the films. Whimpering people are encrusted in the Alien-ified walls (who explode when you shoot them, or spurt chestbursters to punish the loitering Colonial Marine), towering Alien Queens that attack with relentless abandon, sleeping tanks (inspired by the films), and eggs that lazily slip open when a hurting Marine can least afford it.

Alien Trilogy also delivers the arsenal Colonial Marines will die to get their hands on. Ranging from a Beretta to a steadicam-mounted smart rifle, Acclaim provides enough firepower for the experienced Marine to show every Alien Queen who's boss. The weapons also enjoy their trademark sounds from the films, including the high-pitched jam of the pulse rifle. Like the films, Alien Trilogy employs incredible savvy in how it uses sound. There's just you and the dark, moody music, the pulse-quickening hum of the motion tracker, and two sets of jaws at every turn."
"All Japan Pro Wrestling Featuring Virtua","全日本プロレス　ＦＥＡＴＵＲＩＮＧ　ＶＩＲＴＵＡ","Region Not Set","","Sega","Scarab | 																Sega AM1 R&D Division","1997-10-23","2","No","Fighting | Sports","E - Everyone","25 years of All Japan Pro Wrestling comes to Sega Saturn, and now the warriors of Virtua Fighter has taken to the ring to challenge the champions of the world! 12 wrestlers compete to showcase their skills and win the Triple Crown. 3 modes of play allows friends go head-to-head and compete in the ultimate battle of spirits!"
"All-Star Baseball '97 Featuring Frank Thomas","","Region Not Set","","Acclaim Entertainment, Inc.","Iguana Entertainment","1997-05-29","2","No","Sports","E - Everyone","The All-Star Baseball baseball video game series was developed and published by Acclaim Entertainment. The series began in 1997 with the release of All-Star Baseball '97 Featuring Frank Thomas, the successor to Frank Thomas Big Hurt Baseball. New York Yankees play-by-play announcers John Sterling and Michael Kay were the announcers for 1998-2000 editions of the game. The final release in the series (due to the bankruptcy of Acclaim) is All-Star Baseball 2005.

Within the individual games, there are several different modes of play, such as exhibition, managing an existing Major League Baseball team or creating a team. Many North American cities are available for ""expansion,"" in addition to Mexico City and Puerto Rico.

Most of the games feature Derek Jeter on the cover."
