title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Panic Bomber","Tobidase! Panibon","NTSC","","Nintendo","Hudson Entertainment, Inc.","1995-12-01","1","No","Puzzle","E - Everyone","Bomberman Blasts the Island of Ever Mist!

Get ready for explosive puzzler action with Bomberman! Detonate the worlds of Scary Ruins, Sinister Forest, and Desert Desolation. Conquer the Island of Ever Mist and capture the three celestial models of power.

Don't panic! Or you might get scorched by greedy Ms. Flashy or the deadly Count Dracu-Doom. Ignite the dreaded Doom Castle with bombastic moves and combustive strategy. Only then can you open the gates to the legendary Golden Statue of Bomberman. It's a puzzling blast!"
"Red Alarm","","NTSC","","Nintendo","T&E Soft","1995-08-14","1","No","Shooter","E - Everyone","Bursting through incredible dimensions of Virtual space the final mission is clear. Obliterate all enemies and obstacles created by KAOS and terminate this menacing battle system from within.

Employing an impressive arsenal of high-tech weapons and evasive maneuvers the Tech-Wing Fighter speeds on. Spinning deaths, spy pods and mosquito mechs appear from everywhere! The fate of humanity will soon be defined. Red Alarm! Red Alarm! Alarm Condition Red!!"
"SD Gundam Dimension War","","NTSC-J","","Bandai Co., Ltd.","Locomotive Games","1995-12-22","1","No","Strategy","Not Rated","SD Gundam Dimension War is a Strategy game, developed by Locomotive Corporation and published by Bandai, which was released in Japan in 1995."
"Simon!","Simon | Simon (VB) | Simon (Virtual Boy) | Simon! (VB) | Simon! (Virtual Boy)","NTSC","","","","2003-01-01","1","No","Puzzle | Quiz | Unofficial","Not Rated","A Virtual Boy version of the classic Simon game created by DogP. It plays like the real simon game with the D-pads used to repeat the game’s orders. Screw up once and it’s game over! Simon has three difficulty modes that differ by the length of the sequences. The game has no sound and has simple graphics, but DogP used some parallax scrolling in certain places."
"Snowball Wars","","NTSC","","","","2007-07-26","1","No","Shooter | Unofficial","Not Rated","This is war!

Use your snowball cannon and blast your enemy! They will try to dodge your attacks, but you must take them out! Choose your opponent... and declare war!

5 different opponents to choose from."
"Space Invaders Virtual Collection","","NTSC-J","","Taito Corporation","Taito Corporation","1995-12-05","1","No","Shooter","Not Rated","Attention all Earthlings! Relentless alien hordes have been identified near you. Prevent the dangerous Space Invaders from landing on your territory. Use your cannon to defend against waves of descending alien invaders. Don't let them hit the ground or it's all over for you and the Earth! Destroy them and score points!"
"Space Pinball","Galactic Pinball","NTSC-U","","","","1995-07-21","1","No","Puzzle","E - Everyone","Normally you would think that prototypes of released games are not even half as interesting as any unreleased stuff, and I'd say you're right, but in some cases those hardly resemble the final product. You can say the latter about this early version of what would later be released as ""Galactic Pinball"". What people got to play at Shoshinkai 1994 and CES 1995, where the Virtual Boy was first unveiled to the japanese and later the american people, looks (and feels) very different than the final released product, although, as you might think, many things were changed for good.

When you start up the game, you see an early version of the adjustment screen, after which the game jumps directly to the title. No Precaution or Automatic Pause yet, but that wouldn't have made much sense anyway in an early exhibition software, would it? While the title screen looks a bit different with the different game logo, the following stage select screen has barely been changed for ""Galactic Pinball"", there are also five options which can be selected by rotating them. Instead of 4 tables and the highscores there are 5 tables in this prototype, though, and here at latest, it is becoming very interesting.
None of the 5 available tables can be found in the final version of the game like they are in the prototype, but some still remind of ""Galactic Pinball"" more or less."
"Space Squash","","NTSC-J","","Coconuts Japan Entertainment Co., Ltd.","Tomcat System","1995-09-09","1","No","Sports","Not Rated","Space Squash is a Sports game, developed by Tomcat System and published by Coconuts Japan, which was released in Japan in 1995."
"Super Bounce","PD Super Bounce VB","Other","","","","2010-10-31","1","No","Action | Platform | Unofficial","Not Rated","Created for the PVB Coding Competition 2010, Super Bounce has been described as ""Bound High"" meets ""Ice Climber""."
"T&E Virtual Golf","","NTSC-J","Japan","","","1995-08-11","1","No","Sports","Not Rated","No overview is currently available for this title, please feel free to add one."
"Teleroboxer","","NTSC","","Nintendo","Nintendo","1995-08-14","1","No","Fighting","E - Everyone","In a savage display of pounding moves and lightning action, robotic boxers from around the globe step into a futuristic ring. Mirroring the movements of the humans in control, each Teleroboxer is capable of surviving defense matches unbearable to mankind.

Slug it out to the staggering end to determine the true world champion. Created with specialized Techtronic powers and unique personalities, these responsive machines show no mercy on their way to the brutal top."
"Tobidase! Panibomb","Panic Bomber","NTSC-J","Japan","Nintendo","Hudson Soft","1995-07-21","1","No","Puzzle","Not Rated","Bomberman Blasts the Island of Ever Mist!

Get ready for explosive puzzler action with Bomberman! Detonate the worlds of Scary Ruins, Sinister Forest, and Desert Desolation. Conquer the Island of Ever Mist and capture the three celestial models of power.

Don't panic! Or you might get scorched by greedy Ms. Flashy or the deadly Count Dracu-Doom. Ignite the dreaded Doom Castle with bombastic moves and combustive strategy. Only then can you open the gates to the legendary Golden Statue of Bomberman. It's a puzzling blast!"
