id,title,region,release_date,platform,detail_url
"26350","Batsu & Terii","NTSC-J","1987-07-22","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=26350"
"26459","Battle Baseball","1993-02-19","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26459"
"1637","Battle Chess","1990-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1637"
"47095","Battle City","NTSC-J","1985-09-09","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=47095"
"26461","Battle Fleet","1990-06-22","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26461"
"47967","Battle Kid 2: Mountain of Torment","2012-12-15","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=47967"
"80900","Battle Kid: A Perilous Trap","2018-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80900"
"10800","Battle Kid: Fortress of Peril","2010-02-22","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=10800"
"80919","Battle of the Bits: Winter Chip IV","2009-02-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80919"
"80920","Battle of the Bits: Winter Chip V","2010-02-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80920"
"26615","Battle Rush: Build Up Robot Tournament","1993-11-13","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26615"
"44857","Battle Stadium: Senbatsu Pro Yakyuu","1990-12-19","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=44857"
"26464","Battle Storm","1991-12-21","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26464"
"1638","Battleship","1993-09-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1638"
"128533","Battletoads","PAL","1993-02-18","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=128533"
"97828","Battletoads","NTSC-J","1970-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=97828"
"2770","Battletoads","NTSC-U","1991-06-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=2770"
"88841","Battletoads - Legacy Cartridge Collection","NTSC","2020-08-20","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=88841"
"2774","Battletoads & Double Dragon","NTSC","1993-06-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=2774"
"106071","Battletoads and Double Dragon [Collector's Edition]","NTSC","2022-04-19","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=106071"
"76043","BB Car","1988-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=76043"
"101638","Be A Pirate","Other","2022-04-23","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=101638"
"26570","Be-Bop High School: Koukousei Gokuraku Densetsu","1988-03-30","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26570"
"80921","Beat 'em & Eat 'em","2014-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80921"
"1641","Bee 52","1992-07-08","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1641"
"80849","Beerslinger","2015-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80849"
"1642","Beetlejuice","1991-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1642"
"105485","Beetlejuice (Prototype)","NTSC","1991-05-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=105485"
"67902","Berzerk","NTSC-U","2019-07-02","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=67902"
"40442","Best Keiba Derby Stallion","1991-12-21","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=40442"
"1036","Best of the Best: Championship Karate","1992-12-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1036"
"26571","Best Play Pro Yakyuu","1988-07-15","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26571"
"26572","Best Play Pro Yakyuu '90","1990-12-13","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26572"
"26573","Best Play Pro Yakyuu II","1990-03-30","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26573"
"26574","Best Play Pro Yakyuu Special","1992-10-16","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26574"
"101801","Beyond the Pins","Other","2021-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=101801"
"1643","Bible Adventures","1992-01-24","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1643"
"1644","Bible Buffet","1993-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1644"
"80923","Big City Sliding Blaster","2014-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=80923"
"76555","Big Nose and the Witchdoctor","1970-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=76555"
"1645","Big Nose Freaks Out","1992-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1645"
"91044","Big Nose Freaks Out [Aladdin]","NTSC","1992-11-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=91044"
"1646","Big Nose the Caveman","1991-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=1646"
"99991","big trouble in little china","Other","2016-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=99991"
"36938","Big TV Mary Bar","NTSC","1989-05-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=36938"
"1647","Bigfoot","Other","1990-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=1647"
"33131","Bikkuri Nekketsu Shin Kiroku! Harukanaru Kin Medal","1992-06-26","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=33131"
"26575","Bikkuriman World: Gekitou Sei Senshi","1992-07-27","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26575"
"1648","Bill & Ted's Excellent Video Game Adventure","NTSC","1990-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=1648"
"1649","Bill Elliott's NASCAR Challenge","Other","1991-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=1649"
"95214","Billionaire Banshee","NTSC","2018-01-01","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=95214"
"21490","Binary Land","1985-12-19","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=21490"
"34553","Bingo 75","1990-01-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=34553"
"26413","Bio Force Ape","2011-04-01","Nintendo Entertainment System (NES)","","https://thegamesdb.net/game.php?id=26413"
"84568","Bio Hazard","NTSC","2003-05-10","Nintendo Entertainment System (NES)","https://thegamesdb.net/game.php?id=84568"
