title,alternate_titles,region,country,publisher,developer,release_date,players,coop,genre,esrb_rating,description
"Clue","","Region Not Set","","","","","","No","","","""Professor Plum...in the kitchen...with a candlestick."" For decades, CLUE has been one of the world's most popular detective games. Now the celebrated murder mystery comes to life with live actors, sensational video and the powers of interactive investigation.

Mr. Boddy has been found murdered in the mansion. Your job is to be the first to discover the killer, the lethal weapon and the room in which the deadly deed was done."
"Cluedo","","Region Not Set","","Philips Interactive Media, Inc.","3T Games","1994-01-01","","No","Adventure","","No overview is currently available for this title, please feel free to add one."
"Cluedo: The Mysteries Continue","","Region Not Set","","Philips Interactive Media, Inc.","3T Games","1995-01-01","","No","Adventure","","Cluedo, known as Clue in the USA, is a popular board game with a murder mystery theme. The CD-i version makes full use of Digital Video to present the viewer with a challenging game. By interviewing real characters and using a process of deduction the viewers must play against each other to find the murderer, the murder weapon and the murder room, and correctly accuse the culprit."
"Compton's Interactive Encyclopedia","","Other","","","","1992-01-01","1","No","Unofficial","Not Rated","Interactive Encyclopedia with interactive articles, video documentaries, a ""time machine"" feature which lets you see events organized by area, a world atlas and a interactive version of Webster's Intermediate Dictionary."
"Compton's Interactive Encyclopedia [Not for Resale]","","NTSC","United States of America","Philips Interactive Media, Inc.","ISG Productions","1992-11-06","1","No","Education","Not Rated","Interactive Encyclopedia with interactive articles, video documentaries, a ""time machine"" feature which lets you see events organized by area, a world atlas and a interactive version of Webster's Intermediate Dictionary."
"Connect Four","","Region Not Set","","Philips Interactive Media, Inc.","Capitol Disc Interactive","1991-01-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Create Your Own Caricature with Spitting Image","","Region Not Set","","Philips Interactive Media of America","Freeland Studios","","","No","","","A CD-i Title that allowed you to make caricatures of celebrities and your own photos."
"Creature Shock","","Region Not Set","","Virgin Interactive Entertainment, Inc.","Argonaut Games","1997-01-01","","No","","","In 2123, the UNS Amazon is sent as part of an exploration fleet to various planets to determine new viable locations for settlement as the Earth is destroyed by human activity. En route to Saturn, the Amazon is ensnared by a massive alien being resembling a large asteroid. The protagonist, Commander Jason Barr, is sent to investigate the incident.

He encounters heavy resistance on his way to Saturn, and after fighting through multitudes of alien ships, encounters the UNS Amazon almost completely absorbed by the organic asteroid. As he explores it, he comes into contact with what appears to be Captain Sumoki of the Amazon. However, she morphs into a demonic looking alien and attacks. Upon defeat, it reverts to the appearance of the Captain and Barr takes it back to the Moon base.

The being is examined and determined to be an alien clone. Upon interrogation, it reveals an alien listening base located on Tethys. Barr heads to Tethys to find the base and destroy its communication uplink. Upon his arrival he encounters a probe which proceeds to scan his ship before heading back to the base. Barr chases it through the valleys, where he locates the base. He manages to complete his mission and escape the base before it's destroyed. His ship, however, gets caught in the data beam and he is pulled up through it.

Regaining consciousness, he pilots the ship through several pieces of debris and destroys an awaiting alien ship. His ship is badly damaged in the process and crashes into the alien mothership. With no means of escape, he searches the ship and engages the leader in battle, finally defeating him on the bridge. He then accidentally activates the ship terraforming ability, changing its coordinates from Earth to Mars. With this Mars is transformed into a second Earth, providing humanity a new home."
"Crime Patrol","","Region Not Set","","Philips Interactive Media, Inc.","Capitol Disc Interactive","1996-01-01","","No","Action","","Be the ultimate crime fighter in this multi-level live action thriller! Face streetfight gangs and armed robbers as a rookie. Undercover, you'll hit mobsters and drug dealers. Join SWAT to take down bank robbers and bikers. Make it to the top in Delta Force and take on international terrorists!"
"Crime Patrol 2: Drug Wars","","Region Not Set","","Philips Interactive Media, Inc.","Capitol Disc Interactive","1996-01-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Cyber Soldier Sharaku","","Region Not Set","","Japan Interactive Media","Japan Interactive Media","1993-01-01","","No","","","No overview is currently available for this title, please feel free to add one."
"Dark Castle","","Region Not Set","","Philips Interactive Media, Inc.","Silicon Beach Software","1993-09-08","1","No","Adventure","","Dark Castle looms over the landscape like a plague. Its evil ruler, the Black Knight, must be defeated. And you're the only candidate to do it...

First you'll have to make your way through chambers of nasty hazards. The castle guards are hunting you, plague-infested rats and bats attack, the Dragon breathes scorching fire, the Torturer wants to get you, and the Wizard may or may not aid you with a spell. Award-winning Dark Castle is a fast-paced action game with full digital sound, amazingly rich resolution and well-crafted animation. As the hero, you will bound throughout the castle, surmounting hair-raising obstacles, eluding death and -ultimately- becoming the victor!"
"David and Goliath","","Region Not Set","","Philips Interactive Media of America","","1992-01-01","1","No","Education","E - Everyone","Top down religious board game"
"Defender of the Crown","","Region Not Set","","Philips Interactive Media, Inc.","Philips Interactive Media","1991-01-01","","No","Strategy","","Strategy is vital in this chivalrous charade, and smarts will protect your hide better than armor as you command the role of a brave Saxon knight destined to avenge King Richard's murder. To reclaim the crown and conquer the heart of a beautiful maiden, you must outwit and outmaneuver hordes of medieval marauders. Read maps, plan raids, even team with Robin Hood, then plunder enemy strongholds, dueling for gold needed to build an army of mercenary vassals. You'll also need to stash cash for catapults that launch boulders, fire and disease into formidable fortresses. So wise up and rise up to this unique challenge where leadership is as important as swordsmanship. For when you've survived this strategic adventure, complete with daring jousts and courageous castle sieges, you won't be sorry - you'll be king!"
"Dictionnaire Hachette multimédia","","PAL","France","Philips Interactive Media, Inc.","Philips Interactive Media","1970-01-01","1","No","Education","Not Rated","No overview is currently available for this title, please feel free to add one."
"Dimos Quest","","Region Not Set","","XDRA","Xdra","1994-01-01","","No","Strategy","","No overview is currently available for this title, please feel free to add one."
"Dragon's Lair","","Region Not Set","","ReadySoft Incorporated","Starcom","1994-01-01","1","No","Adventure","","Dragon's Lair: The fantasy adventure where you become a valiant knight, on a quest to rescue the fair princess from the clutches of an evil dragon. You control the actions of a daring adventurer, finding his way through the castle of a dark wizard, who has enchanted it with treacherous monsters and obstacles. In the mysterious caverns below the castle, your odyssey continues against the awesome forces that oppose your efforts to reach the Dragon's Lair. Lead on, adventurer. Your quest awaits!"
"Dragon's Lair II: Time Warp","","Region Not Set","","Digital Leisure Inc.","","1991-06-16","1","No","Adventure","","Princess Daphne has been spirited away to a wrinkle in time by the evil wizard Mordroc, who plans to force her into marriage. Only you, Dirk the Daring, can save her. Transported by a bumbling old time machine, you begin the rescue mission. But you must hurry, for once the Casket of Doom has opened, Mordroc will place the Death Ring upon Daphne's finger and she will be lost forever in the Time Warp. Dragon's Lair II: Time Warp is a fully animated arcade classic from legendary animator Don Bluth. 

Beware of your foes, for they are numerous. Only you can save Princess Daphne."
"Drug Wars","","Region Not Set","","American Interactive Media","Capitol Disc Interactive","1996-01-01","1","No","Action","Not Rated","No overview is currently available for this title, please feel free to add one."
"Earth Command","","Region Not Set","","Philips Interactive Media, Inc.","Visionary Media","1993-01-01","","No","Strategy","","No overview is currently available for this title, please feel free to add one."
"Effacer: Hangman from the 25th Century","","Region Not Set","","Philips Interactive Media, Inc.","Capitol Disc Interactive","1994-01-01","","No","Puzzle","","No overview is currently available for this title, please feel free to add one."
